	label	label_color	node	branch_id	branch_id_alias	branch_lam	branch_dist	S0_pseudotime	S3_pseudotime	S2_pseudotime	S5_pseudotime	S4_pseudotime	S1_pseudotime
HSPC_764	LTHSC	#40bdbd	17	(83, 1)	('S1', 'S0')	0.007224861832976425	0.0008452856850349852	0.009162171736363573	0.021543343131300668	0.011862750643380573	0.03187153525210021	0.03237435977510007	0.007224861832976425
HSPC_771	MPP	#eea113	31	(83, 1)	('S1', 'S0')	0.008653730538508514	0.00011249329594837085	0.007733303030831484	0.02011447442576858	0.010433881937848485	0.03044266654656812	0.030945491069567985	0.008653730538508514
HSPC_777	MPP3	#bd4040	54	(83, 1)	('S1', 'S0')	0.013411180936945363	0.0011535774498570455	0.0029758526323946342	0.01535702402733173	0.005676431539411635	0.02568521614813127	0.026188040671131136	0.013411180936945363
HSPC_783	MPP1	#db721b	3	(83, 1)	('S1', 'S0')	0.0036399043148556275	4.008545117649268e-05	0.01274712925448437	0.025128300649421467	0.015447708161501372	0.035456492770221004	0.03595931729322087	0.0036399043148556275
HSPC_789	MPP1	#db721b	10	(83, 1)	('S1', 'S0')	0.004950995942503423	0.00032887711874570743	0.011436037626836575	0.023817209021773672	0.014136616533853577	0.03414540114257321	0.034648225665573074	0.004950995942503423
HSPC_795	MPP1	#db721b	17	(83, 1)	('S1', 'S0')	0.006553448381783432	0.0002927293615730437	0.009833585187556566	0.02221475658249366	0.012534164094573568	0.032542948703293204	0.03304577322629307	0.006553448381783432
HSPC_801	LMPP	#7c5246	37	(83, 1)	('S1', 'S0')	0.010769178011325526	0.0009938347125642223	0.005617855558014471	0.017999026952951566	0.008318434465031471	0.02832721907375111	0.028830043596750975	0.010769178011325526
LT-HSC_207	LTHSC	#40bdbd	47	(83, 1)	('S1', 'S0')	0.002161695931628615	0.00013997772123047872	0.014225337637711383	0.026606509032648478	0.016925916544728383	0.03693470115344802	0.03743752567644788	0.002161695931628615
HSPC_765	LTHSC	#40bdbd	12	(83, 1)	('S1', 'S0')	0.0058132565478784416	0.0005407991180078159	0.010573777021461556	0.02295494841639865	0.013274355928478556	0.03328314053719819	0.033785965060198056	0.0058132565478784416
HSPC_772	LTHSC	#40bdbd	10	(83, 1)	('S1', 'S0')	0.004439894596655176	0.00025519468422595653	0.011947138972684821	0.024328310367621918	0.014647717879701823	0.03465650248842146	0.035159327011421326	0.004439894596655176
HSPC_778	MPP	#eea113	25	(83, 1)	('S1', 'S0')	0.012445262644963593	0.000394104015280433	0.003941770924376404	0.0163229423193135	0.006642349831393405	0.026651134440113043	0.027153958963112908	0.012445262644963593
HSPC_784	MPP3	#bd4040	12	(83, 1)	('S1', 'S0')	0.005426207206571994	0.00020507295502852167	0.010960826362768003	0.023341997757705096	0.013661405269785005	0.03367018987850464	0.034173014401504505	0.005426207206571994
HSPC_790	MPP3	#bd4040	37	(83, 1)	('S1', 'S0')	0.010682412367941143	0.0005535657964224953	0.005704621201398854	0.01808579259633595	0.008405200108415854	0.028413984717135493	0.028916809240135358	0.010682412367941143
HSPC_796	LMPP	#7c5246	76	(83, 1)	('S1', 'S0')	0.01607163851457428	0.00019216541696004567	0.00031539505476571583	0.01269656644970281	0.0030159739617827168	0.023024758570502353	0.023527583093502218	0.01607163851457428
